numeric_id,user_id,mention_freq,RT_freq,reply_freq
i5een25nB1x29qNnvv5pRMv5r0xK2Jp9A9UrFtNBtFo=,@i5een25nB1x29qNnvv5pRMv5r0xK2Jp9A9UrFtNBtFo=,6,6,0
2315010763,@Thairath_TV,6,5,0
14181969,@moui,6,3,3
4781800940,@UnderbedDara,6,6,0
65319043,@news1005fm,6,2,3
906061083118510080,@parisjpt,6,3,3
66623777,@meVnus,6,1,3
5D5m7kUmuyEs+yq6qxazy5gz2evjQ40wJQRnfTP4Ayk=,@5D5m7kUmuyEs+yq6qxazy5gz2evjQ40wJQRnfTP4Ayk=,6,0,6
736382087763107840,@DnpReport,6,3,3
1109717872522125312,@Iminnie39,6,0,1
773751029456396292,@irichmillion,6,3,3
168750564,@wongnai,6,6,0
57300500,@KomsakAddams,6,2,4
167306817,@Ch3ThailandNews,6,3,3
747367167868309505,@themomentumco,6,3,3
143315526,@sunaibkk,6,0,5
1209009136521768960,@23regiment,6,6,0
2456232744,@Itsara_Th,6,6,0
1132677232307068928,@Cholnan,6,2,4
1134075064276606976,@suttawan_fwp,6,2,3
204758391,@GREEEEEEEEEEDD,6,2,4
874643354,@jittro,5,2,3
57277051,@teeratr,5,2,3
1000364309279522821,@KhaohomMeow,5,0,2
1133757109361758210,@steamythaitea,5,0,0
1282359530,@Sorathan_News,5,0,5
635328646,@actions34,5,5,0
182168448,@kidmakk,5,5,0
906903605294252032,@kiattisak_kris,5,4,1
1220215016684548096,@5_artillery5,5,4,1
926428152687185920,@oRing9957651248,5,1,2
1180141661768142848,@pokcy4,5,0,0
162430946,@jiimiiko,5,0,2
86241025,@nakhon224,5,0,0
34507480,@ArianaGrande,5,4,1
ZczSdkafT15FHhVyQ8iQAYmugCtFwsLU63fNvzovD94=,@ZczSdkafT15FHhVyQ8iQAYmugCtFwsLU63fNvzovD94=,5,5,0
1182834093572026368,@callmeging1906,5,4,1
905645078,@Birdious1,5,2,3
1006375442,@_Joon12Indy,5,2,3
955790740159832064,@AnusornOfficial,5,0,4
103668879,@tin434,5,3,2
1186671540831576064,@XKER2475,5,1,4
1093807114617679872,@PracharathSoBad,5,1,34
531458720,@kanwanich,5,0,0
725346784734679040,@kin9stillonmind,5,5,0
883324220905619456,@pastel_heartt,5,3,2
1106056312134094848,@D9dGdZj7MNR71Xk,5,5,0
1150704559649460224,@JWaretch,5,5,0
948448013210431488,@DRGroupTH,5,0,0
931427996723961857,@100088CWP,5,0,5
4234718431,@Panama_1703,5,1,4
1216999464113557504,@2DevDiv,5,5,0
1201730863035142144,@ThaiEnquirer,5,4,1
321399955,@ThaiArmedForce,5,2,1
2436789440,@Ch7HDNews,5,5,0
129446517,@teacherwarat,5,3,2
1121686512913928192,@callmeloverboii,5,2,2
1186420437258919936,@Vanidapijarini,5,0,6
68980519,@TNEWSTV,5,3,2
63380662,@RITT41,5,2,3
72235036,@NONpayakphan,5,1,1
285993399,@prd_official,4,4,0
511572263,@ToKyOBenZ,4,0,0
2532360218,@thaich8news,4,4,0
1110099731643056128,@prebple,4,0,2
1122715582938243073,@nmgfounder,4,0,4
463837813,@Pinny45,4,2,1
82867334,@jin_Ch3Thailand,4,2,2
754872220309032960,@InMyDiary96,4,1,3
840587104786632704,@effiefix,4,0,0
791996614059528192,@PenpornM12,4,2,1
1131118686134136832,@ParkCY_BP,4,1,3
1107682709189611520,@happyaliceee,4,0,3
148678287,@aom_prathana,4,4,0
1017359228250386432,@socialgirl2005,4,3,1
767718750359465984,@noirisaesthetic,4,0,7
859348698781827072,@jaomaecaption,4,4,0
345840402,@Citizen2600,4,1,3
60289128,@tumbler_p,4,2,2
64994079,@Thansettakij,4,2,2
90901060,@ThaksinsLife,4,2,2
1119978166582251520,@pdlulla,4,3,1
1213914227611619328,@Chaiwit64322275,4,0,4
886858202247159810,@ThaiNewsPix,4,4,0
988394306359541760,@DoctorEkk,4,2,2
1202804379419430912,@Teerayu15355656,4,0,4
2361192372,@tobedin,4,4,0
415590741,@petong_tk,4,0,0
223104875,@victoriia_x,4,0,3
237612401,@Bussarin_PPTV,4,0,4
947919157,@lovekasuma,4,2,2
325417766,@PravitR,4,1,2
4666487059,@gdh559,4,4,0
4119847693,@Xhansaknarin,4,0,1
17023417,@FirefoxChorme,4,3,1
303750533,@Yannaphon,4,2,2
407610788,@YouCastNoShadow,4,1,3
66811980,@genierecords,4,4,0
1125250028723814400,@kwonjiyongg2,4,0,1
61553631,@Ryn_writes,4,3,1
113415683,@RangsimanRome,4,1,1
733318070479900672,@Ramillah_Sierra,4,0,4
41390607,@notepleng,4,1,2
361098756,@isranews_agency,4,3,1
61776513,@isipatanama,4,0,0
778456660587057152,@nenongna,4,1,3
1125345020138086401,@BANKIVXCII,4,0,3
41284441,@Chu_OnlineNews,4,2,2
59980629,@iiDudes,4,2,2
1114062512398393350,@LAnutin,4,4,0
778257209427841024,@runrannnnn,4,0,0
16600625,@brian_the_lover,4,1,3
2306748188,@iSailom,4,1,2
156900124,@democratTH,4,2,2
80201870,@monamonmai,4,3,1
1743765402,@chetmaitree,4,2,1
1170957254209617922,@KhunCake90,4,0,1
2455833230,@sleeplessbkk,4,2,1
2cRbDgexgKXx4IgLxCZ23y74wxtpc2UbFGMXwrwItmY=,@2cRbDgexgKXx4IgLxCZ23y74wxtpc2UbFGMXwrwItmY=,4,4,0
272983396,@sanuukmn,4,1,3
1195955858246492160,@Kalaya_so,4,3,1
91172195,@knookker,4,2,2
707770685951578112,@ifiemlm_irsiawn,4,0,0
130491830,@Nalinee_OPLE,4,2,2
1005965704539934726,@djboych9,4,3,1
1209001621188792320,@13Artilleryudon,4,4,0
77154673,@icyremy,4,3,1
2995702326,@headachestencil,4,0,1
1081181245092950016,@LookkateChonth1,4,2,2
86658130,@bkksnow,4,1,3
877372973304369156,@LifefineLife,4,0,2
18592593,@kalanistan,4,2,2
r0m+1f+BAf8vzeHWPfu9BPAw6GsSvdvZUwcnq9oPA=,@LKaZ247iyNJ34gu,4,4,1
2886228103,@stevejark,3,1,2
4777217406,@FonzFonze,3,3,0
45515359,@yugioh2500,3,1,2
1038698413,@stephffart,3,0,0
1012174544163954688,@Mono29News,3,0,1
lU3LqKlXpm6Ab30XNDZSqTfPkGv8EjoIiknR1cq6O0Q=,@lU3LqKlXpm6Ab30XNDZSqTfPkGv8EjoIiknR1cq6O0Q=,3,0,3
YqjcfhDmrBj+bXi2Uhi5RYeEB9L8FY6aLoKPKjqg=,@YqjcfhDmrBj+bXi2Uhi5RYeEB9L8FY6aLoKPKjqg=,3,0,2
1154312647321329666,@YuttapongOffic1,3,0,0
2519507977,@watthanasan,3,2,1
2716179692,@GMM25Thailand,3,3,0
1326375108,@CoconutsBangkok,3,3,0
75189063,@SanookNews,3,1,2
86900426,@Thairath_Pol,3,1,2
23032702,@Sanook,3,2,0
1220387537702666240,@jJsuv0OAskeDKgl,3,0,3
509732599,@Sanisa_s,3,2,1
83321317,@pnvich,3,1,2
1162934702832930816,@545_415,3,1,2
213612447,@snopnatt,3,1,1
kvRHkv9On+A8aJi2D8Ht87VVMldTAqHajGvy80DPn0k=,@kvRHkv9On+A8aJi2D8Ht87VVMldTAqHajGvy80DPn0k=,3,0,3
15457437,@TonsTweetings,3,2,1
101177096,@chamnanxyz,3,1,2
74121455,@SEA_GLOBE,3,2,1
GUhO6JGKXqFhTgVWbUBuuXwcdxUxCt+pBRwlDnP70=,@GUhO6JGKXqFhTgVWbUBuuXwcdxUxCt+pBRwlDnP70=,3,1,2
95174410,@mechiimeben,3,0,0
1206167575832354818,@BananaL37244633,3,0,3
41366713,@masatha,3,2,1
598870841,@popnat1996,3,3,0
787325444961869825,@twinpole09,3,1,1
993550264635281408,@pangwangedn,3,2,1
559347269,@BrandBuffet,3,0,0
143688971,@pipoauh,3,0,0
1186902852263796736,@UnknownCitiz,3,1,2
90140131,@jaiiannss,3,1,0
148764351,@conandroid,3,2,0
58741133,@paisalvision,3,3,0
31382571,@fhso_,3,1,2
3319584571,@i_0847802405,3,2,1
287219102,@mind_one1,3,0,2
807878036183912448,@Tangky_zuveena,3,1,2
840933521585713152,@TanadejP,3,1,1
1097283547952345089,@ThamrongsakP,3,1,2
52452923,@deesakoo,3,2,1
2273857026,@mjenmana,3,2,1
2359236931,@dejdanaisupa,3,2,1
89655358,@TNAMCOTEnglish,3,2,1
1147807871846903808,@fgpjUVCj8qGih12,3,3,0
1134645062019604481,@WasanaWW,3,1,2
767718750359465984,@old_plot1996,3,0,7
1040426874646650880,@SupportTawan,3,0,3
244083955,@Red_Pussy,3,2,1
774951006572417024,@FJ8126,3,1,2
2237533399,@Su_radet,3,3,0
156691774,@meedeedada,3,0,0
3125338178,@pakkytnn24,3,1,1
61115015,@Fanatic_Pat,3,0,2
1095283462045556736,@Cherryberrii1,3,0,1
68903832,@pichai_online,3,2,1
6085812,@tpagon,3,1,2
2279354040,@nuch_naksung,3,3,0
944295581685465088,@naxumiii,3,0,2
804290314622013440,@apolojai28,3,0,2
850381694116835328,@nok293444,3,3,0
959592415781822465,@rxpxur6elf,3,1,2
59028840,@AIS_Thailand,3,3,0
2309234977,@IMeSayIt,3,3,0
1210368426457231360,@mahasakdiphols2,3,3,0
2814702264,@Pong_Manop,3,2,1
1011994706987737088,@thaiboys888,3,3,0
543585435,@Hook31_Thailand,3,1,2
97442866,@KK_Nation,3,0,0
1091223845946552320,@PprpBangkok,3,0,0
72221274,@samhuahin,3,2,1
2452920259,@Prachaya_Ice,3,2,1
801486428601319424,@historynearyou,3,3,0
1201400953024303104,@KShiniechi,3,1,2
198714960,@Psolemn,3,3,0
266545852,@Pui_TRnews,3,1,1
1206994553930055680,@artchara1999,3,0,2
1136450636415791104,@queenphuk,3,0,1
1199950973394767872,@AnimeSugoiTH,3,3,0
145610950,@hamzterzkub,3,2,1
3244788507,@natlamborghini1,3,1,1
1464635180,@hcumiiiiii,3,2,1
116399823,@AmFBO,3,3,0
1132377892942303232,@narokisme,3,0,2
53380876,@wongthanong,3,2,0
2524556089,@Israroguereport,3,0,0
849478406647533569,@PeacenewsThai,3,1,2
905248478,@narissarara,3,1,2
2589215221,@Nut_HS6OKJ,3,2,1
rsyTZunQSHD0wcGmbSadRR+9Eo70CSUGQ1uT5i0B+Sg=,@rsyTZunQSHD0wcGmbSadRR+9Eo70CSUGQ1uT5i0B+Sg=,3,3,0
948483001712693248,@ninekai666,3,2,1
1191540228495835136,@NutRuning,3,2,1
736116228,@boygkk285,3,0,0
61714472,@teeramon,3,1,2
280937615,@suchartonly,3,3,0
573299587,@GOT7Official,3,3,0
1226130208769527808,@7XaDo0PCr49ZwSU,3,2,1
1256012989,@Greanpeach,3,0,3
GvNdsRKUgUn8PM+1g2VoZO5LNPJHYHfnRcdIuS0gew=,@GvNdsRKUgUn8PM+1g2VoZO5LNPJHYHfnRcdIuS0gew=,3,2,1
597129119,@HS2_QRK5_s9,3,2,1
2914900639,@BUdonsuk,3,2,1
828157760399241216,@BOW9608,3,1,2
4807382006,@NapaphatJampa1,3,3,0
137117612,@nopporn90,3,2,1
16548023,@9GAG,3,3,0
933855598071787520,@RDPSCC_RTARF,3,3,0
829980817979957249,@the101_world,3,1,2
1226446060710588418,@CheNevermind,2,1,1
1212316028748750853,@love_ly_sky,2,1,1
1169981522738200576,@Udd76177345,2,0,0
789487783484108800,@jay_ttc,2,0,2
225375673,@Umairananayaya,2,1,1
1326163814,@YounaChann,2,1,1
979438900765601792,@_eyepoints,2,1,0
kbbg630BjClgskPpf97fVUcwk3dTbfGWGn69ix5I=,@kbbg630BjClgskPpf97fVUcwk3dTbfGWGn69ix5I=,2,2,0
1073602689286766592,@madmax68176958,2,0,2
236698155,@allthatxweedx,2,0,0
1159810090615992321,@nivimutti,2,1,1
1121390502178279424,@commonners,2,0,1
60575013,@mctok,2,0,0
949480119818579978,@milinng,2,0,2
930902404182065152,@bbigkachu,2,1,1
1098927573944299523,@madamkimdiary,2,1,1
1227083151802941440,@BYrBD3HEW3PLnju,2,1,1
1170927170199289857,@machim_nakorn,2,0,2
1114545336997933056,@yaowaluxx,2,0,0
841662201710571520,@netflixreviewTH,2,2,0
1178961081248571392,@world_ganja,2,2,0
702807853120167936,@Traffic_1197,2,2,0
303613983,@joe_black317,2,1,1
822135061910691841,@aek0401,2,0,2
724751034111778816,@narz_zey,2,1,1
9439602,@blognone,2,0,0
723902275953913857,@zoarr21,2,0,1
e5Bk+J2CFppYIswGtUWXlyN2VmezdWZwMZm2YSTdNjs=,@e5Bk+J2CFppYIswGtUWXlyN2VmezdWZwMZm2YSTdNjs=,2,0,2
216531294,@TwitterKorea,2,2,0
1040491263957430272,@jakaphathotmai1,2,2,0
853234610771185664,@nukhoodankmeow,2,1,1
118960546,@b969,2,1,1
878204370403250176,@ygofficialblink,2,0,0
596381628,@aim_theerarat,2,0,2
1098122344587882496,@BenPradit,2,1,1
973836784084897792,@__mynameisgam__,2,0,1
31382571,@fhanso_,2,1,2
62897660,@engelmei,2,0,0
90287425,@Bigbluelotus,2,1,1
821896295207956481,@okeybitchyaa,2,1,1
1115821391792824321,@BuaUsa,2,1,1
18933712,@noppatjak,2,0,2
4242077953,@busaya_mathelin,2,2,0
34713362,@business,2,0,0
1542002521,@myttium,2,1,1
277559976,@kamphaka,2,1,0
871670252181929986,@cinti0304,2,1,1
366987179,@jokowi,2,0,0
